rank,title,artist,album
1,당신과는 천천히,장범준,장범준 3집
2,노래방에서,장범준,장범준 3집
3,그건 아마 우리의 잘못은 아닐 거야,백예린,Our love is great
4,고고베베 (gogobebe),마마무(Mamamoo),White Wind
5,술이 달다 (Feat. Crush),에픽하이 (EPIK HIGH),sleepless in __________
6,봄 (Feat. 산다라박),박봄,Spring
7,그때가 좋았어,케이시(Kassy),그때가 좋았어
8,옥탑방,엔플라잉(N.Flying),FLY HIGH PROJECT #2 `옥탑방`
9,달라달라,ITZY(있지),IT`z Different
10,SHE`S FINE,헤이즈(Heize),She`s Fine
11,일산으로,장범준,장범준 3집
12,그러니까 (Feat. Colde),헤이즈(Heize),She`s Fine
13,벌써 12시,청하,벌써 12시
14,그모습 그대로,장범준,장범준 3집
15,노래 제목,뉴이스트,NU`EST `노래 제목`
16,이 노래가 클럽에서 나온다면,우디 (Woody),이 노래가 클럽에서 나온다면
17,멍청이(twit),화사(Hwa Sa),멍청이(twit)
18,혼자,거미,혼자
19,BIRD,하성운,My Moment
20,넘쳐흘러,엠씨더맥스,Circular
21,잊지마요 (Feat. 박지훈),하성운,잊지마요
22,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
23,너를 만나,폴킴,너를 만나
24,신청곡 (Feat. SUGA of BTS),이소라,신청곡 (Feat. SUGA of BTS)
25,호불호 (Feat. 기리보이) (Prod. By GRAY),우원재,호불호
26,신용재,하은,신용재
27,오.꼭.말,하성운,My Moment
28,Dejavu,뉴이스트 W,"WHO, YOU"
29,문득,하성운,My Moment
30,SOLO,제니 (JENNIE),SOLO
31,사랑해서 그래,강민경,강민경 1집
32,Lonely Night,하성운,My Moment
33,Way Back Home,숀(SHAUN),Take
34,사계 (하루살이),엠씨더맥스,Circular
35,있다면,뉴이스트 W,NU`EST W `있다면`
36,180도,벤,180˚
37,YES or YES,TWICE(트와이스),YES or YES
38,"미운 날 (The day, I hate myself)",닐로(Nilo),29
39,아낙네,MINO (송민호),XX
40,그러나,10cm,4.3
41,내 생에 아름다운,케이윌,뷰티 인사이드 OST Part 4
42,Feeling (Feat. PENOMECO),정세운,PLUS MINUS ZERO
43,띵 (Prod. By 기리보이),Jvcki Wai,영비(Young B)
44,열애중,벤,RECIPE
45,여보세요,뉴이스트,여보세요
46,초록빛,폴킴,초록빛
47,FACE,뉴이스트,FACE
48,이밤,장범준,장범준 3집
49,오롯이,헤이즈(Heize),오롯이
50,너는 어땠을까,노을,별
